Name,Identifier,Qualifier
"1400 North at the Westin Washington, D.C. City Center",Contemporary American,Cuisine
14K Restaurant & Lounge,Contemporary American,Cuisine
15 ria,American,Cuisine
1789 Restaurant,American,Cuisine
1905,Comfort Food,Cuisine
2100 Prime In The Fairfax Hotel,Contemporary American,Cuisine
701 Restaurant,Contemporary American,Cuisine
Acadiana,Creole / Cajun / Southern,Cuisine
Acre 121,Barbecue,Cuisine
American Grill,Contemporary American,Cuisine
Aria Pizzeria & Bar,Pizzeria,Cuisine
Art and Soul,American,Cuisine
Article One - American Grill,American,Cuisine
Avenue Cafe Bar and Grill - Holiday Inn Central,American,Cuisine
Avenue Grill,American,Cuisine
B. Smith's,American,Cuisine
Barcode,Contemporary American,Cuisine
Beacon Bar and Grill,Contemporary American,Cuisine
Bier Baron Restaurant & Tavern,Contemporary American,Cuisine
Birch and Barley,American,Cuisine
BLT Steak DC,Steak,Cuisine
Blue Duck Tavern,American,Cuisine
Bobby Van's Grill - New York Ave.,Steakhouse,Cuisine
Boundary Road,American,Cuisine
Bourbon Steak - Four Seasons Washington DC,Contemporary American,Cuisine
Buca di Beppo - DC,Italian,Cuisine
Cafe of India,Indian,Cuisine
Cafe Soleil,American,Cuisine
Capitol City Brewing Company - Downtown,American,Cuisine
Cashion's Eat Place,Contemporary American,Cuisine
The Caucus Room Brasserie,Contemporary American,Cuisine
Cedar Restaurant,Contemporary American,Cuisine
Ceiba,Latin American,Cuisine
Central Michel Richard,American,Cuisine
Charlie Palmer Steak - DC,Steakhouse,Cuisine
Chef Geoff's New Mexico Ave.,Contemporary American,Cuisine
Chef Geoff's Downtown,Contemporary American,Cuisine
Circle Bistro,Contemporary American,Cuisine
CityZen,Contemporary American,Cuisine
Clyde's of Chevy Chase,American,Cuisine
Clyde's of Gallery Place,American,Cuisine
Clyde's of Georgetown,American,Cuisine
Co Co. Sala,American,Cuisine
1905,Comfort Food,Cuisine
Acacia Bistro,Mediterranean,Cuisine
Acqua Al 2,Italian,Cuisine
Adour at St. Regis Washington DC,French,Cuisine
AGORA,Mediterranean,Cuisine
Al Dente (FKA La Forchetta),Italian,Cuisine
Ambar,Tapas / Small Plates,Cuisine
Ancora,Italian,Cuisine
Aria Pizzeria & Bar,Pizzeria,Cuisine
Arucola Osteria,Italian,Cuisine
Avenue Cafe Bar and Grill-Holiday Inn Central,American,Cuisine
Barcode,Contemporary American,Cuisine
Belga Cafe,Belgian,Cuisine
Bistro Bis,French,Cuisine
Bistro Bistro,French,Cuisine
Bistro Bohem,Eastern European,Cuisine
Bistro Cacao,French,Cuisine
Bistro d'OC,French,Cuisine
Bistro Francais,French,Cuisine
Bistrot Lepic & Wine Bar,French,Cuisine
Brasserie Beck,French,Cuisine
Buca di Beppo - DC,Italian,Cuisine
Cafe Berlin,German,Cuisine
Cafe Du Parc,French,Cuisine
Cafe Dupont,French,Cuisine
Café Milano,Italian,Cuisine
Cafe Paradiso,Italian,Cuisine
Carmine's Restaurant - DC,Italian,Cuisine
Cedar Restaurant,Contemporary American,Cuisine
Central Michel Richard,American,Cuisine
Chez Billy,French,Cuisine
The Dancing Crab,Seafood,Cuisine
Asia Nine Bar and Lounge,Asian,Cuisine
Asian Spice,Pan-Asian,Cuisine
Banana Leaves Asian Restaurant and Sushi Bar,Contemporary Asian,Cuisine
Burma,Burmese,Cuisine
Dirty Martini DC,Fusion / Eclectic,Cuisine
Farmers Fishers Bakers Sushi,Sushi,Cuisine
Fujimar restaurant & sushi lounge,Sushi,Cuisine
The Hamilton,American,Cuisine
Kaz Sushi Bistro,Sushi,Cuisine
Kushi Izakaya & Sushi,Japanese,Cuisine
Malaysia Kopitiam,Malaysian,Cuisine
Mandu - 18th Street,Korean,Cuisine
Mandu - K Street,Korean,Cuisine
Masa 14,Tapas / Small Plates,Cuisine
Miss Saigon,Vietnamese,Cuisine
Murasaki,Japanese,Cuisine
Oya Restaurant & Lounge,Eurasian,Cuisine
Ping Pong Dim Sum - Chinatown,Chinese,Cuisine
Ping Pong Dim Sum - Dupont,Dim Sum,Cuisine
SEI restaurant & lounge,Asian,Cuisine
The Source,Asian,Cuisine
Spices Asian Restaurant,Asian,Cuisine
Sticky Rice,Asian,Cuisine
Sushi Ko - Glover Park,Japanese,Cuisine
Sushi Taro,Japanese,Cuisine
Young Chow Chen's Asian Restaurant and Sushi Bar,Asian,Cuisine
Zengo - D.C.,Fusion / Eclectic,Cuisine
Zentan,Asian,Cuisine
